,Other solid biofuels,87,100,101,93,99,95,86,90,84,71,36,69,76,80,96,96,99,96,96,
,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,
,Biogas,0,0,0,0,0,0,0,9,18,20,26,28,46,54,54,68,84,90,102,
,Geothermal,432,475,438,588,912,1 019,1 030,1 061,1 144,1 301,1 401,1 497,1 587,1 906,3 206,4 481,4 689,4 871,5 005,
Algeria,Total renewable energy,54,69,57,265,251,555,218,226,283,342,173,481,583,291,391,327,431,635,784,
,Hydropower,54,69,57,265,251,555,218,226,283,342,173,378,389,98,193,145,72,56,117,
,Renewable hydropower,54,69,57,265,251,555,218,226,283,342,173,378,389,98,193,145,72,56,117,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19,19,160,
,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19,19,160,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,0,103,193,193,198,162,339,560,507,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,205,374,374,
,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,103,193,193,197,148,134,186,133,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Angola,Total renewable energy,900,1 010,1 131,1 231,1 731,2 201,2 541,2 884,3 154,3 308,3 660,4 018,3 818,3 618,5 058,5 065,6 424,7 897,7 897,
